key,source,target
/0F19003E49DA44A2CCE0C492A2AEC646,重启,重启
/139DE1CE4E14BC3431BC9D937EB27F80,玩家控制旋转为{PlayerROT}传送位置为{ArrowROT} ,玩家控制旋转为{PlayerROT}传送位置为{ArrowROT} 
/279B545144D1EB5A8EF3A9969A816745,退出黑客游戏耗时{time}秒，完成时间{Time},退出黑客游戏耗时{time}秒，完成时间{Time}
/2932B74C45DBAE28415E10BCE00B7330,Ruin制作人员名单,Ruin制作人员名单
/45D36C404D5E1F987226AD8A7A3E4070,冲刺切换,冲刺切换
/50F8F4A34502F93EE59B47AAB5B89C66,{trigger}完成等待传送门完成,{trigger}完成等待传送门完成
/ADC89D8F4FCBD48AA6B11E8F33FF1F64,亮度,亮度
/BD86A9834DECF13A44194F9D689CBE3E,在{Time}强制对{TargetActor}调用跳跃式惊吓,在{Time}强制对{TargetActor}调用跳跃式惊吓
/C05153DA44E10CF596CBA38519B1373C,{Self}捕获触发器在时间{time}与{OtherActor}重叠,{Self}捕获触发器在时间{time}与{OtherActor}重叠
/C21C94D14F3B1F741E9FAB8E5E87DB26,老鹰,老鹰
/C8C20C334E06CEE6B537D18C24156414,？？？？？？,??????
/C91107BF4A84B80B71C106ADD166A54A,选项,选项
/D6F8312043570EDFD15FC3A4B1364638,{trigger}正在等待传送门完成,{trigger}正在等待传送门完成
/DEFFFEE64EA0EBCE06B266979B966D00,左Ctrl,左Ctrl
/DLC_Blueprint_GlitchInteractable_Instruction,修复故障,修复故障
/DLC_Blueprints_Conduit_DialLeft,下一根管道,下一根管道
/DLC_Blueprints_Conduit_DialRight,上一根管道,上一根管道
/DLC_Blueprints_Conduit_DirectionsText,"将所有管道充电至正确水平。
将Faz扳手对准管道即可为其充电。","将所有管道充电至正确水平。
将Faz扳手对准管道即可为其充电。"
/DLC_Blueprints_Conduit_Exit,离开,离开
/DLC_Blueprints_ConduitPanel3D_ActionNotPermittedMessage,增强现实模式下不允许此操作。,增强现实模式下不允许此操作。
/DLC_Blueprints_DLCRabbitAI_TechniciansLeaveAR,系统警告：未知实体已劫持安全协议。,系统警告：未知实体已劫持安全协议。
/DLC_Blueprints_ItemCollectionUI_CollectablesButtonText,真正的收集品,现实收集品
/DLC_Blueprints_Objects_Collectibles_CautionBot_GraphDeactivateText,停用,停用
/DLC_Blueprints_OptionsControlsUI_CrouchToggleName,下蹲切换,切换下蹲
/DLC_Blueprints_OptionsUI_AntialiasQualityShortDescription,反锯齿可使物体边缘更加平滑。,抗锯齿可使物体边缘更加平滑。
/DLC_Blueprints_OptionsUI_BrightnessShortDescription,如果白色看起来发灰，就把亮度调高；如果黑色看起来发灰，就把亮度调低。,如果白色看起来发灰，就把亮度调高；如果黑色看起来发灰，就把亮度调低。
/DLC_Blueprints_OptionsUI_ColorBlindFilter,色盲过滤器,色盲滤镜
/DLC_Blueprints_OptionsUI_ColorBlindFilterIntensity,色盲过滤器强度,色盲滤镜强度
/DLC_Blueprints_OptionsUI_ColorBlindIntensityShortDesc,调整色盲过滤器的强度。,调整色盲滤镜的强度。
/DLC_Blueprints_OptionsUI_ColorBlindShortDescription,色盲过滤器会增加对比度，提高细节可视性。,色盲滤镜会增加对比度，提高细节可视性。
/DLC_Blueprints_OptionsUI_ContrastShortDescription,调整对比度，直到可以看清最多细节。,调整对比度，直到可以看清最多细节。
/DLC_Blueprints_OptionsUI_DistanceQualityShortDescription,视距设定物体出现的距离。,设定物体出现的距离。
/DLC_Blueprints_OptionsUI_DLCOptionsButton,可下载内容选项,可下载内容选项
/DLC_Blueprints_OptionsUI_DLSSLevelShortDescription,深度学习超级采样可以在游戏分辨率设置不高时改善游戏画面的效果。,深度学习超级采样可以在游戏分辨率设置不高时改善游戏画面的效果。
/DLC_Blueprints_OptionsUI_EffectsQualityShortDescription,颗粒的作用是创建动画视觉效果。,颗粒用于创建有动画效果的视觉特效。
/DLC_Blueprints_OptionsUI_GammaShortDescription,调整伽马值，直到你能看见阴影中的细节。,调整伽马值，直到你能看见阴影中的细节。
/DLC_Blueprints_OptionsUI_GraphicsQualityShortDescription,设定画面质量,调整画面质量
/DLC_Blueprints_OptionsUI_HelpiBlurbTime,帮帮简介时间,帮帮简介时间
/DLC_Blueprints_OptionsUI_InstructionCards,说明卡,说明卡片
/DLC_Blueprints_OptionsUI_InstructionCardsShortDescription,显示全屏教程卡。仅限Security Breach,显示全屏教程卡片。仅限安全漏洞本体
/DLC_Blueprints_OptionsUI_JumpscareVolumeShortDescription,调整游戏内突发惊吓的音量。,调整游戏内跳吓的音量。
/DLC_Blueprints_OptionsUI_MasterVolumeShortDescription,调整游戏内所有声音的主音量。,调整游戏内所有声音的主音量。
/DLC_Blueprints_OptionsUI_MusicVolumeShortDescription,调整游戏内所有音乐的音量。,调整游戏内所有音乐的音量。
/DLC_Blueprints_OptionsUI_PCVisQualityShortDesc,选择你的电脑能够处理的最佳预设设定。,选择你的电脑能够处理的最佳预设。
/DLC_Blueprints_OptionsUI_PostProcessQualityShortDescription,后期处理为照相机增添过滤器与其他效果。,后期处理为玩家相机增添滤镜与其他效果。
/DLC_Blueprints_OptionsUI_RayTracingShortDescription,光线追踪让光线看上去更真实。,光线追踪让光线看上去更真实。
/DLC_Blueprints_OptionsUI_Reticle,十字准星,十字准星
/DLC_Blueprints_OptionsUI_ReticleShortDescription,在抬头显示器显示十字准星。,在HUD上显示十字准星。
/DLC_Blueprints_OptionsUI_SetResolutionShortDescription,设定屏幕分辨率。,设置屏幕分辨率。
/DLC_Blueprints_OptionsUI_ShadingQualityShortDescription,设定底纹的逼真程度。,设置纹理的逼真程度。
/DLC_Blueprints_OptionsUI_ShadowQualityShortDescription,设定阴影的逼真程度。,设置阴影的逼真程度。
/DLC_Blueprints_OptionsUI_ShowHideSubtitles,显示或隐藏字幕。,显示或隐藏字幕。
/DLC_Blueprints_OptionsUI_SoundFXVolumeShortDescription,调整游戏内所有音效的音量。,调整游戏内所有音效的音量。
/DLC_Blueprints_OptionsUI_SteathIndicatorToggle,潜行指示器切换,潜行指示器切换
/DLC_Blueprints_OptionsUI_SteathIndicatorToggleDesc,关闭此功能以隐藏蹲下/站立图标,关闭此功能以隐藏蹲下/站立图标
/DLC_Blueprints_OptionsUI_TextureQualityShortDescription,设定游戏内所有质地的质量。,设置游戏内所有纹理的质感质量。
