key,source,target
/DLC_Blueprints_PauseUI_ItemNameFreddyMaskText, Freddy Mask,
/DLC_UI_Subtitles_ThankYouForVisiting,"(Intercom) Ladies and gentlemen, thank you for visiting and we hope you enjoyed the show! Freddy and the gang are pretty tired, but they’ll be back again next week after a few days of scheduled maintenance! Please make your way to the front of the building where you will be given novelty glasses, a voucher for one free soda refill, and where you will sign a legal disclaimer releasing us of all liability for anything that might have happened during your visit. Have an awesome night, and we’ll see you again soon!",
/AC4639C4414652BA5C46FE932300915C,100%,
/DLC_BP_UI_ItemCollection_SecondaryObjective,2/3 Security Nodes Disabled,
/DLC_BlueprintsUI_Pause_SecondaryObjectiveText,2/3 Security Nodes Disabled,
/DLC_UI_WIHelpiPanel_NewUserDetected,"<Univia.White>New User Detected</>

Pairing occipital transponder.",
/DLC_UIDLC_LoadingGraphic_SecurityNetworkTipText,<b>Security Network:</> You must <b>deactivate all Child Nodes</> before you can deactivate the <b>Parent Node</>.,
/2BB67E9B450C7F90A9DFB6A0827149E3,"<btn id=""MenuAccept""/>",
/444BA19C4FDD9441E2D3EA9958AAB909,"<btn id=""MenuBack""/>",
/DLC_Objects_VannyMask_EquipFormat,"<btn id=""Teleport""/>: Equip Security Mask",
/C8C20C334E06CEE6B537D18C24156414,??????,
/DLC_UI_SecurityCamStation_SetText,??????,
/DLC_Inventory_MaintenanceTool_Description,A Fazbear technician’s Faz-Wrench.,
/1F12A53B437AB92D734E51AB8E1000B9,A description of each setting goes here...,
/DLC_Data_ChowdaInventoryTable_ARGoldenBonnieDescription,A prototype?,
/DLC_Data_ChowdaInventoryTable_SecurityMaskDescription,A strange mask left behind by some Faz-Technician.,
/DLC_Inventory_WalkieTalkie_Description,A walkie-talkie of my favorite character.,
/DLC_Blueprints_WISecurityNodeChildActivatable_Activated,ACTIVATED,
/DLC_Data_ChowdaInventoryTable_ARPrizeLunch04,AR Bonnie Lunchbox,
/DLC_Data_ChowdaInventoryTable_ARPrizeMask06,AR Bonnie Mask,
/DLC_Data_ChowdaInventoryTable_ARPrizePinata03,AR Bonnie Piñata,
/DLC_Data_ChowdaInventoryTable_ARPrizeLunch02,AR Chica Lunchbox,
/DLC_BP_UI_ItemCollection_ARCollectables,AR Collectables,
/DLC_Data_ChowdaInventoryTable_ARPrizeMask01,AR Comedy Mask,
/DLC_Data_ChowdaInventoryTable_ARPrizeLunch03,AR Foxy Lunchbox,
/DLC_Data_ChowdaInventoryTable_ARPrizeMask05,AR Foxy Mask,
/DLC_Data_ChowdaInventoryTable_ARPrizePlush08,AR Foxy Plush,
/DLC_Data_ChowdaInventoryTable_ARPrizeLunch01,AR Freddy Lunchbox,
/DLC_Data_ChowdaInventoryTable_ARPrizePlush07,AR Glam Bonnie Plush,
/DLC_Data_ChowdaInventoryTable_ARPrizePlush02,AR Glam Chica Plush,
/DLC_Data_ChowdaInventoryTable_ARPrizePlush03,AR Glam Freddy Plush,
/DLC_Data_ChowdaInventoryTable_ARPrizePlush04,AR Glam Monty Plush,
/DLC_Data_ChowdaInventoryTable_ARPrizePlush01,AR Glam Roxy Plush,
/DLC_Data_ChowdaInventoryTable_ARPrizeGolden02,AR Golden Bonnie,
/DLC_Data_ChowdaInventoryTable_ARPrizeGolden01,AR Golden Foxy,
/DLC_Data_ChowdaInventoryTable_ARPrizeGolden04,AR Golden Freddy,
/DLC_Data_ChowdaInventoryTable_ARPrizeGolden06,AR Golden Moon,
/DLC_Data_ChowdaInventoryTable_ARPrizeGolden03,AR Golden Plushbaby,
/DLC_Data_ChowdaInventoryTable_ARPrizeGolden05,AR Golden Sun,
/DLC_Data_ChowdaInventoryTable_ARPrizePlush11,AR Helpy Plush,
/DLC_Data_ChowdaInventoryTable_ARPrizeMask04,AR Moon Mask,
/DLC_Data_ChowdaInventoryTable_ARPrizePinata02,AR Moon Piñata,
/DLC_Data_ChowdaInventoryTable_ARPrizePlush05,AR Moon Plush,
/DLC_Data_ChowdaInventoryTable_ARPrizePlush10,AR Nightmare Plush,
/DLC_Data_ChowdaInventoryTable_ARPrizePlush09,AR Plushbaby,
/DLC_Blueprints_WISecurityNodeOverlay_ARSecurityNetworkText,AR SECURITY NETWORK,
/DLC_Data_ChowdaInventoryTable_ARPrizeMask03,AR Sun Mask,
/DLC_Data_ChowdaInventoryTable_ARPrizePinata01,AR Sun Piñata,
/DLC_Data_ChowdaInventoryTable_ARPrizePlush06,AR Sun Plush,
/DLC_Data_ChowdaInventoryTable_ARPrizeMask02,AR Tragedy Mask,
/DLC_Blueprints_ConduitPanel3D_ActionNotPermittedMessage,Action not permitted in AR Mode.,
/DLC_ModelAssets_DLCProps_PREARConduitStatic_NotPermittedMessage,Action not permitted in AR Mode.,
/DLC_BlueprintsUI_OptionsControlsUI_KeyboardSensSliderShortDescription,Adjust camera sensitivity for keyboard look controls only.,
/DLC_BlueprintsUI_OptionsControlsUI_MouseSensSliderShortDescription,Adjust camera sensitivity for the mouse.,
/DLC_Blueprints_OptionsUI_GammaShortDescription,Adjust gamma until you can see detail in dark shadows.,
/DLC_Blueprints_OptionsUI_MasterVolumeShortDescription,Adjust the Master Volume of all sound in the game.,
/DLC_Blueprints_OptionsUI_ColorBlindIntensityShortDesc,Adjust the strength of the colorblind filter.,
/DLC_Blueprints_OptionsUI_JumpscareVolumeShortDescription,Adjust the volume of all Jumpscares in the game.,
/DLC_Blueprints_OptionsUI_MusicVolumeShortDescription,Adjust the volume of all Music in the game.,
/DLC_Blueprints_OptionsUI_SoundFXVolumeShortDescription,Adjust the volume of all Sound Effects in the game.,
/DLC_Blueprints_OptionsUI_VoiceVolumeShortDescription,Adjust the volume of all Voices in the game.,
/DLC_Data_ChowdaInventoryTable_ARFoxyMaskDescription,Ahoy!,
/DLC_DLCRabbit_AlertText,Alerted!,
/DLC_UIDLC_ChowdaMenu_AllCollectiblesfoundtext,All Collectibles found,
/DLC_UI_CamStation_SymbolButton_AnomalyDetectedText,Anomaly Detected!,
/DLC_Blueprints_OptionsUI_AntialiasQualityShortDescription,Anti-aliasing smoothes the edges of objects.,
/DLC_UI_DeleteProfilePU_ConfirmText,Are you sure you want to delete this profile?,
/DLC_Blueprints_UI_RestoreDefaultsPU_AreYouSureText,Are you sure you want to?,
/Loc_UI_KeyBindingConfirmation_Text1,Are you sure you want to?,
/DLC_BlueprintsUI_TitleSaveSlotButton_AutoSave,Autosave {number},
/DLC_Blueprints_OptionsUI_ContrastShortDescription,Balance the contrast so that you can see the most detail.,
/DLC_UIDLC_LoadChapterPU_BeginPlaying,Begin playing from Chapter 0?,
/DLC_UIDLC_LoadChapterPU_LoadConfirmFormat,Begin playing from Chapter {Chapter}?,
/DLC_UIDLC_LoadChapterPU_LoadConfirmFormat2,Begin playing from Chapter {Chapter}?,
/DLC_Data_ChowdaInventoryTable_ARBonnieLunchboxDescription,Bonnie was my dad’s favorite.,
/DLC_BP_CFF_UI_Boost,Boost,
/DLC_Blueprints_TeleportPlayer_Breached,Breached,
/ADC89D8F4FCBD48AA6B11E8F33FF1F64,Brightness,
/DLC_UI_WIHelpiPanel_CallMeHelpi,Call me Helpi. You can always count on me because it’s my job to help you succeed in your new job!,
/DLC_Sets_VentSign_Caution,Caution,
/DLC_UIDLC_Cassie_Overlay_CautionBotSouls,Caution Bot Souls:,
/DLC_UI_LoadingGraphic_TextBlock107,Change Hint,
/DLC_UI_ChapterSelectionButton_ChapterAndNumText,Chapter 1 ,
/DLC_UIDLC_ChowdaMenu_ChaptersButton_DisplayText,Chapter Select,
/DLC_UI_ChapterSelectionButton_ChapterNumberFormatText,Chapter {number},
/DLC_UI_ChapterSelectionButton_ChapterNumberFormatText2,Chapter{number},
/DLC_Blueprints_Conduit_DirectionsText,"Charge all conduits to the correct level.
Point the Faz-Wrench at the conduit to charge it.",
/DLC_Blueprints_SecurityNodes_WISecurityNodeChildActivatable_ChildNode,Child Node,
/DLC_Blueprints_OptionsUI_PCVisQualityShortDesc,Choose the best preset your PC can handle.,
/DLC_UI_Win_CollectableItems,Collectable Items:,
/DLC_Blueprints_OptionsUI_ColorBlindFilter,Color Blind Filter,
/DLC_Blueprints_OptionsUI_ColorBlindFilterIntensity,Color Blind Filter Intensity,
/DLC_Data_ChowdaInventoryTable_RWPrizeComic01,Comic Page 1,
/DLC_Data_ChowdaInventoryTable_RWPrizeComic02,Comic Page 2,
/DLC_Data_ChowdaInventoryTable_RWPrizeComic03,Comic Page 3,
/DLC_Data_ChowdaInventoryTable_RWPrizeComic04,Comic Page 4,
/DLC_Data_ChowdaInventoryTable_RWPrizeComic05,Comic Page 5,
