key,source,target
/AC6C3ED54683C892A0E2E59CA49E76E3,你确定你要？,
/Loc_KitchenOffice_PizzaStation_Cheese,奶酪机,
/2FF986EC489FD58E5F087B9D10BF42B8,继续将解除此键与 [action] 操作的绑定,
/0DDC461B4E19EBCE364C568AA1DBCE6D,继续将解除此键与 {action} 操作的绑定,
/Loc_KitchenOffice_PizzaStation_Crust,酥皮面包机,
/01FF4B6F49217139C34B258F1323CA27,默认,
/Loc_Mission_GetOut_Task_01_Title,在没有弗莱迪的情况下找到大厅,
/Loc_CFF_UI_HUD_Go,开始！,
/Loc_KitchenOffice_PizzaStation_Meat,肉片机,
/Loc_KitchenOffice_PizzaStation_NotMeat,午餐肉机,
/Loc_KitchenOffice_PizzaStation_Oven,烤箱,
/Loc_KitchenOffice_PizzaStation_Sauce,酱料机,
/5537F74E4790186C9DDDFA8A6E4F8141,是的,
Loc_Achievements/Loc_Achievement_11_NAME,双刃剑,
Loc_Achievements/Loc_Achievement_15_NAME,你玩得开心吗？,
Loc_Achievements/Loc_Achievement_26_DESC,通过Fazerblast,
Loc_Achievements/Loc_Achievement_16_DESC,打破至少10个盘子。,
Loc_Achievements/Loc_Achievement_20_NAME,非礼勿动,
Loc_Achievements/Loc_Achievement_13_DESC,完成Fizzy Faz挑战,
Loc_Achievements/Loc_Achievement_8_NAME,左躲右闪,
Loc_Achievements/Loc_Achievement_24_DESC,逃离托儿所,
Loc_Achievements/Loc_Achievement_22_DESC,逃离奖品柜台办公室,
Loc_Achievements/Loc_Achievement_23_DESC,逃离西区街机厅,
Loc_Achievements/Loc_Achievement_22_NAME,假警报,
Loc_Achievements/Loc_Achievement_7_DESC,找到一张派对通行证。,
Loc_Achievements/Loc_Achievement_27_DESC,找到所有可收集的信息,
Loc_Achievements/Loc_Achievement_3_DESC,找到游戏中的所有奖品盒,
Loc_Achievements/Loc_Achievement_17_DESC,找到罗克西赛道问题的根源,
Loc_Achievements/Loc_Achievement_21_DESC,弗莱迪被摧毁,
Loc_Achievements/Loc_Achievement_2_DESC,打高尔夫球得低分,
Loc_Achievements/Loc_Achievement_0_DESC,获得游戏中的所有其他奖杯。,
Loc_Achievements/Loc_Achievement_4_DESC,被吓一跳,
Loc_Achievements/Loc_Achievement_15_DESC,获得好结局,
Loc_Achievements/Loc_Achievement_6_DESC,尽可能获取最高的安全访问权限,
Loc_Achievements/Loc_Achievement_17_NAME,危险津贴,
Loc_Achievements/Loc_Achievement_14_NAME,质问者,
Loc_Achievements/Loc_Achievement_28_NAME,捉迷藏大师,
