key,source,target
/06108FA2484D06E4310890AA4A89D4A2,0,
/A95DE61E4026184AA9DA8693642D8E32,0/50,
/DBE2B6434BAB1A4BE84B469F7087C3EF,"<btn id=""MenuAccept""/>",
/23F9F5D44B76EF458019178F24B1FEAC,"<btn id=""MenuBack""/>",
/65CDE265410B7E051880C7934FFB27A4,"<btn id=""MenuBack""/>",
/AC6C3ED54683C892A0E2E59CA49E76E3,Are you sure you want to?,
/Loc_KitchenOffice_PizzaStation_Cheese,Cheese Station,
/2FF986EC489FD58E5F087B9D10BF42B8,Continuing will unbind this key from the [Action] Action,
/0DDC461B4E19EBCE364C568AA1DBCE6D,Continuing will unbind this key from the {action} Action,
/Loc_KitchenOffice_PizzaStation_Crust,Crust Station,
/01FF4B6F49217139C34B258F1323CA27,Default,
/Loc_Mission_GetOut_Task_01_Title,Find the Lobby,
/Loc_CFF_UI_HUD_Go,GO!,
/Loc_KitchenOffice_PizzaStation_Meat,Meat Station,
/Loc_KitchenOffice_PizzaStation_NotMeat,Not Meat Station,
/Loc_KitchenOffice_PizzaStation_Oven,Oven,
/Loc_KitchenOffice_PizzaStation_Sauce,Sauce Station,
/A39355D34956D3616A7EED8981B61CD8,Text Block,
/5537F74E4790186C9DDDFA8A6E4F8141,Yes,
/2DDCD4E24FD94EEFA2EF77BD452D6784,{NumOfFiles}/50,
Loc_Achievements/Loc_Achievement_11_NAME,A DOUBLE EDGED SWORD,
Loc_Achievements/Loc_Achievement_15_NAME,ARE YOU HAVING FUN YET?,
Loc_Achievements/Loc_Achievement_26_DESC,Beat Fazer Blast,
Loc_Achievements/Loc_Achievement_16_DESC,Break at least 10 dishes.,
Loc_Achievements/Loc_Achievement_20_NAME,CLAW NO EVIL,
Loc_Achievements/Loc_Achievement_13_DESC,Complete the Fizzy Faz Challenge,
Loc_Achievements/Loc_Achievement_8_NAME,DODGE AND WEAVE,
Loc_Achievements/Loc_Achievement_24_DESC,Escape the Daycare,
Loc_Achievements/Loc_Achievement_22_DESC,Escape the Prize counter office,
Loc_Achievements/Loc_Achievement_23_DESC,Escape the West Arcade,
Loc_Achievements/Loc_Achievement_22_NAME,FALSE ALARM,
Loc_Achievements/Loc_Achievement_7_DESC,Find a party pass.,
Loc_Achievements/Loc_Achievement_27_DESC,Find all collectible messages,
Loc_Achievements/Loc_Achievement_3_DESC,Find all prize boxes in the game,
Loc_Achievements/Loc_Achievement_17_DESC,"Find the source of Roxy Raceway's problems",
Loc_Achievements/Loc_Achievement_21_DESC,Freddy is shattered,
Loc_Achievements/Loc_Achievement_2_DESC,Get a low score on golf,
Loc_Achievements/Loc_Achievement_0_DESC,Get all other trophies in the game.,
Loc_Achievements/Loc_Achievement_4_DESC,Get jump scared,
Loc_Achievements/Loc_Achievement_15_DESC,Get the GOOD ending,
Loc_Achievements/Loc_Achievement_6_DESC,Get the highest security access possible,
Loc_Achievements/Loc_Achievement_17_NAME,HAZARD PAY,
Loc_Achievements/Loc_Achievement_14_NAME,HECKLER,
Loc_Achievements/Loc_Achievement_28_NAME,HIDE AND SEEK MASTER,
Loc_Achievements/Loc_Achievement_21_NAME,I AM NOT ME,
Loc_Achievements/Loc_Achievement_26_NAME,LAZER ACE,
Loc_Achievements/Loc_Achievement_27_NAME,LOST AND FOUND,
Loc_Achievements/Loc_Achievement_9_DESC,Maintenance log: Balloon World - Out of Order,
Loc_Achievements/Loc_Achievement_10_DESC,Maintenance log: Feeding Frenzy - Out of Order,
